ANO,MES,DIA,ID,C,R,X
2017,1,1,1,61040.0,-1.0,-1
2017,1,2,2,60280.0,1.0,-1
2017,1,3,3,62705.0,-1.0,1
2017,1,4,4,62520.0,1.0,-1
2017,1,5,5,62655.0,-1.0,1
2017,1,8,6,62550.0,1.0,-1
2017,1,9,7,62490.0,-1.0,1
2017,1,10,8,63110.0,-1.0,1
2017,1,11,9,63130.0,1.0,1
2017,1,12,10,64700.0,-1.0,1
2017,1,15,11,64400.0,1.0,1
2017,1,16,12,64450.0,-1.0,-1
2017,1,17,13,64860.0,-1.0,1
2017,1,18,14,64500.0,1.0,1
2017,1,19,15,64735.0,-1.0,-1
2017,1,22,16,65055.0,-1.0,-1
2017,1,23,17,66435.0,-1.0,-1
2017,1,25,18,66320.0,1.0,1
2017,1,26,19,66585.0,1.0,1
2017,1,29,20,66490.0,1.0,1
2017,1,30,21,64570.0,1.0,-1
2017,2,0,22,64960.0,-1.0,1
2017,2,1,23,65150.0,1.0,-1
2017,2,2,24,64840.0,1.0,-1
2017,2,5,25,65345.0,-1.0,1
2017,2,6,26,64210.0,1.0,1
2017,2,7,27,64220.0,1.0,1
2017,2,8,28,65130.0,-1.0,1
2017,2,9,29,64950.0,1.0,-1
2017,2,12,30,66200.0,-1.0,-1
2017,2,13,31,66920.0,-1.0,1
2017,2,14,32,66810.0,1.0,-1
2017,2,15,33,69055.0,-1.0,-1
2017,2,16,34,68825.0,-1.0,-1
2017,2,19,35,68640.0,-1.0,-1
2017,2,20,36,69600.0,-1.0,1
2017,2,21,37,70150.0,-1.0,1
2017,2,22,38,69585.0,1.0,1
2017,2,23,39,68300.0,1.0,-1
2017,3,1,40,67800.0,1.0,1
2017,3,2,41,66590.0,1.0,-1
2017,3,5,42,67505.0,-1.0,1
2017,3,6,43,67130.0,1.0,1
2017,3,7,44,66320.0,1.0,1
2017,3,8,45,65310.0,1.0,-1
2017,3,9,46,65135.0,-1.0,-1
2017,3,12,47,65300.0,1.0,-1
2017,3,13,48,66050.0,-1.0,1
2017,3,14,49,65380.0,1.0,1
2017,3,15,50,66850.0,-1.0,1
2017,3,16,51,66210.0,1.0,1
2017,3,19,52,64755.0,1.0,-1
2017,3,20,53,65185.0,-1.0,1
2017,3,21,54,63190.0,1.0,-1
2017,3,22,55,63780.0,-1.0,-1
2017,3,23,56,63890.0,-1.0,-1
2017,3,26,57,64375.0,-1.0,-1
2017,3,27,58,64775.0,-1.0,-1
2017,3,28,59,64705.0,1.0,-1
2017,3,29,60,65995.0,-1.0,1
2017,3,30,61,65605.0,1.0,-1
2017,4,2,62,65135.0,1.0,-1
2017,4,3,63,65560.0,-1.0,-1
2017,4,4,64,65930.0,-1.0,1
2017,4,5,65,64695.0,1.0,1
2017,4,6,66,64330.0,1.0,-1
2017,4,9,67,64695.0,-1.0,1
2017,4,10,68,64590.0,-1.0,1
2017,4,11,69,64670.0,-1.0,1
2017,4,12,70,64910.0,1.0,-1
2017,4,16,71,63770.0,1.0,-1
2017,4,17,72,65525.0,-1.0,-1
2017,4,18,73,65050.0,-1.0,1
2017,4,19,74,64230.0,1.0,1
2017,4,23,75,64630.0,1.0,1
2017,4,24,76,65420.0,1.0,-1
2017,4,25,77,65950.0,-1.0,-1
2017,4,26,78,65650.0,1.0,1
2017,4,27,79,65495.0,1.0,-1
2017,5,1,80,66200.0,-1.0,-1
2017,5,2,81,67705.0,-1.0,1
2017,5,3,82,66710.0,1.0,1
2017,5,4,83,65365.0,1.0,-1
2017,5,7,84,66440.0,-1.0,-1
2017,5,8,85,66380.0,-1.0,-1
2017,5,9,86,66920.0,-1.0,-1
2017,5,10,87,68090.0,-1.0,-1
2017,5,11,88,68090.0,-1.0,1
2017,5,14,89,68605.0,-1.0,1
2017,5,15,90,69140.0,-1.0,1
2017,5,16,91,69365.0,-1.0,1
2017,5,17,92,67985.0,1.0,1
2017,5,18,93,61490.0,-1.0,-1
2017,5,21,94,63080.0,1.0,-1
2017,5,22,95,62215.0,1.0,-1
2017,5,23,96,63160.0,-1.0,1
2017,5,24,97,63780.0,-1.0,-1
2017,5,25,98,63685.0,-1.0,-1
2017,5,28,99,64470.0,-1.0,-1
2017,5,29,100,64205.0,1.0,-1
2017,5,30,101,64200.0,-1.0,1
2017,6,0,102,62915.0,1.0,1
2017,6,1,103,62520.0,1.0,1
2017,6,4,104,62510.0,1.0,-1
2017,6,5,105,62645.0,-1.0,-1
2017,6,6,106,63130.0,-1.0,1
2017,6,7,107,63300.0,-1.0,1
2017,6,8,108,62715.0,1.0,1
2017,6,11,109,62210.0,1.0,1
2017,6,12,110,61685.0,1.0,-1
2017,6,13,111,61780.0,1.0,1
2017,6,15,112,62830.0,1.0,-1
2017,6,18,113,62685.0,1.0,-1
2017,6,19,114,63065.0,-1.0,1
2017,6,20,115,61330.0,1.0,1
2017,6,21,116,61680.0,-1.0,-1
2017,6,22,117,62135.0,-1.0,1
2017,6,25,118,61950.0,1.0,-1
2017,6,26,119,63450.0,-1.0,1
2017,6,27,120,62450.0,1.0,1
2017,6,28,121,62775.0,-1.0,1
2017,6,29,122,63100.0,1.0,-1
2017,7,2,123,63500.0,-1.0,1
2017,7,3,124,63890.0,-1.0,-1
2017,7,4,125,63995.0,-1.0,1
2017,7,5,126,63785.0,1.0,1
2017,7,6,127,62945.0,1.0,1
2017,7,9,128,62990.0,1.0,-1
2017,7,10,129,63730.0,-1.0,-1
2017,7,11,130,64390.0,-1.0,1
2017,7,12,131,65385.0,-1.0,-1
2017,7,13,132,65780.0,-1.0,1
2017,7,16,133,66035.0,-1.0,1
2017,7,17,134,65590.0,1.0,-1
2017,7,18,135,65895.0,-1.0,1
2017,7,19,136,65650.0,1.0,1
2017,7,20,137,65355.0,1.0,1
2017,7,23,138,65055.0,1.0,-1
2017,7,24,139,65535.0,-1.0,-1
2017,7,25,140,65950.0,1.0,1
2017,7,26,141,65155.0,1.0,1
2017,7,27,142,65545.0,-1.0,-1
2017,7,30,143,65870.0,-1.0,-1
2017,8,0,144,65955.0,1.0,-1
2017,8,1,145,66885.0,-1.0,-1
2017,8,2,146,67425.0,-1.0,1
2017,8,3,147,66810.0,1.0,1
2017,8,6,148,66900.0,1.0,-1
2017,8,7,149,68225.0,-1.0,-1
2017,8,8,150,67960.0,-1.0,-1
2017,8,9,151,67905.0,-1.0,1
2017,8,10,152,66960.0,1.0,-1
2017,8,13,153,66830.0,-1.0,-1
2017,8,14,154,68400.0,-1.0,1
2017,8,15,155,68665.0,-1.0,1
2017,8,16,156,69520.0,1.0,1
2017,8,17,157,68890.0,1.0,-1
2017,8,20,158,69645.0,-1.0,1
2017,8,21,159,69565.0,1.0,-1
2017,8,22,160,71500.0,-1.0,-1
2017,8,23,161,71105.0,-1.0,-1
2017,8,24,162,72120.0,-1.0,1
2017,8,27,163,71865.0,1.0,1
2017,8,28,164,71835.0,-1.0,-1
2017,8,29,165,72210.0,-1.0,1
2017,8,30,166,71400.0,1.0,1
2017,9,0,167,71320.0,1.0,-1
2017,9,3,168,72670.0,-1.0,-1
2017,9,4,169,72900.0,-1.0,1
2017,9,5,170,72770.0,1.0,-1
2017,9,7,171,74380.0,-1.0,1
2017,9,10,172,73750.0,1.0,-1
2017,9,11,173,74990.0,-1.0,-1
2017,9,12,174,75220.0,-1.0,-1
2017,9,13,175,75550.0,-1.0,-1
2017,9,14,176,75025.0,1.0,-1
2017,9,17,177,76365.0,-1.0,-1
2017,9,18,178,76485.0,-1.0,1
2017,9,19,179,76505.0,-1.0,1
2017,9,20,180,76460.0,1.0,1
2017,9,21,181,76010.0,1.0,1
2017,9,24,182,75615.0,1.0,1
2017,9,25,183,74645.0,1.0,1
2017,9,26,184,74525.0,1.0,1
2017,9,27,185,74150.0,1.0,1
2017,9,28,186,73620.0,1.0,-1
2017,10,1,187,74605.0,-1.0,-1
2017,10,2,188,74565.0,1.0,-1
2017,10,3,189,77105.0,-1.0,1
2017,10,4,190,76825.0,1.0,-1
2017,10,5,191,76635.0,1.0,1
2017,10,8,192,76170.0,1.0,1
2017,10,9,193,76135.0,1.0,-1
2017,10,10,194,76855.0,-1.0,1
2017,10,12,195,76775.0,1.0,1
2017,10,15,196,77000.0,1.0,1
2017,10,16,197,76800.0,1.0,1
2017,10,17,198,76240.0,1.0,1
2017,10,18,199,77435.0,-1.0,1
2017,10,19,200,77040.0,-1.0,1
2017,10,22,201,77000.0,1.0,1
2017,10,23,202,76120.0,1.0,-1
2017,10,24,203,77100.0,-1.0,1
2017,10,25,204,77325.0,-1.0,1
2017,10,26,205,76600.0,1.0,1
2017,10,29,206,76525.0,1.0,1
2017,10,30,207,75365.0,1.0,1
2017,11,0,208,74750.0,1.0,1
2017,11,2,209,74220.0,1.0,1
2017,11,5,210,74450.0,1.0,-1
2017,11,6,211,74800.0,1.0,1
2017,11,7,212,72895.0,1.0,-1
2017,11,8,213,74820.0,-1.0,1
2017,11,9,214,73375.0,1.0,1
2017,11,12,215,72820.0,1.0,1
2017,11,13,216,72940.0,-1.0,1
2017,11,15,217,71245.0,1.0,-1
2017,11,16,218,72830.0,-1.0,-1
2017,11,20,219,73700.0,-1.0,-1
2017,11,21,220,74790.0,-1.0,1
2017,11,22,221,74850.0,1.0,1
2017,11,23,222,74700.0,1.0,1
2017,11,26,223,74220.0,1.0,1
2017,11,27,224,74345.0,-1.0,-1
2017,11,28,225,74500.0,1.0,1
2017,11,29,226,72800.0,1.0,1
2017,12,0,227,71930.0,1.0,-1
2017,12,3,228,72340.0,-1.0,-1
2017,12,4,229,73020.0,-1.0,-1
2017,12,5,230,72500.0,1.0,-1
2017,12,6,231,73480.0,-1.0,1
2017,12,7,232,72440.0,1.0,1
2017,12,10,233,72645.0,1.0,1
2017,12,11,234,72990.0,1.0,1
2017,12,12,235,74305.0,-1.0,1
2017,12,13,236,73510.0,1.0,1
2017,12,14,237,73075.0,1.0,-1
2017,12,17,238,73065.0,-1.0,-1
2017,12,18,239,73910.0,-1.0,1
2017,12,19,240,73240.0,1.0,-1
2017,12,20,241,74100.0,-1.0,-1
2017,12,21,242,75870.0,-1.0,-1
2017,12,25,243,76045.0,-1.0,-1
2017,12,26,244,76460.0,-1.0,-1
2017,12,27,245,76605.0,-1.0,-1
